Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,PK,PKatt,CrdY,CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,PrgC,PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,# Pl_None,Starts_None,GA,GA90,SoTA,Saves,Performance_Save%,W,D,L,CS,CS%,PKatt_None,PKA,PKsv,PKm,Penalty Kicks_Save%,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,xG,npxG,npxG/Sh,G-xG,np:G-xG,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,onxG,onxGA,xG+/-,xG+/-90,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,FK_None,CK,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Launched_Att,Cmp%,Att (GK),Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Total_Cmp,Total_Att,Total_Cmp%,TotDist,PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,SCA,SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA,GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Def 3rd,Mid 3rd,Att 3rd,Challenges_Tkl,Att,Tkl%,Lost_None,Blocks,Sh_None,Pass,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd_None,Mid 3rd_None,Att 3rd_None,Att Pen,Live,Att_None,Succ,Succ%,Tkld,Tkld%,Carries,TotDist_None,PrgDist_None,1/3_None,CPA,Mis,Dis,Rec,PrgR,Season
Arsenal,25,25.0,58.2,38,418,3420,38.0,86,62,148,76,10,10,64,2,76.1,68.5,55.3,123.8,821,2106,2.26,1.63,3.89,2.0,3.63,2.0,1.46,3.46,1.8,3.26,2,38,29,0.76,83,54,67.5,28,5,5,18,47.4,3,2,1,0,33.3,86,647,209,32.3,17.03,5.5,0.12,0.36,15.8,6,76.1,68.5,0.11,9.9,7.5,90,100,84,263,154,17,188,2.34,91,29,62,1.63,76.1,27.9,48.2,1.27,1,391,394,87,670,292,348,9,3,1,1752,503,499,50.2,1,6,24.1,0.26,-3.9,-0.1,157,441,35.6,1058,189,35.1,30.7,195,35.9,31.1,375,48,12.8,59,1.55,17.9,19094,22558,84.6,309533,102210,9719,10643,91.3,7809,8765,89.1,1178,2162,54.5,62,55.3,57.8,6.7,513,1546,548,68,1185,31.18,926,82,58,66,33,20,152,4.0,104,16,8,11,13,0,610,257,246,107,271,543,49.9,272,412,106,306,902,515,18,26493,1974,6714,11407,8560,1480,26483,671,283,42.2,304,45.3,16297,81171,41510,575,327,525,375,18917,2088,2023-2024
Aston Villa,31,26.9,53.1,38,418,3420,38.0,72,55,127,68,4,4,94,2,63.3,60.3,48.6,108.9,775,1451,1.89,1.45,3.34,1.79,3.24,1.67,1.28,2.95,1.59,2.87,2,38,61,1.61,173,115,65.3,20,8,10,8,21.1,2,1,1,0,50.0,72,511,182,35.6,13.45,4.79,0.13,0.37,16.0,15,63.3,60.3,0.12,8.7,7.7,90,100,83,270,151,19,186,1.79,76,61,15,0.39,63.3,59.9,3.4,0.09,0,412,473,47,651,236,311,4,2,4,1619,334,363,47.9,1,10,61.9,0.36,4.9,0.13,136,380,35.8,1386,176,21.8,27.1,246,31.7,29.5,419,51,12.2,70,1.84,8.4,16133,19363,83.3,281128,95293,7110,7878,90.3,7381,8273,89.2,1330,2368,56.2,55,48.6,42.5,6.4,398,1160,363,67,912,24.0,670,77,47,73,31,14,129,3.39,92,8,8,10,8,3,547,269,210,68,260,550,47.3,290,389,113,276,783,597,13,23058,2807,8170,9636,5459,1010,23054,757,345,45.6,315,41.6,14450,78599,41219,490,217,477,416,15823,1438,2023-2024
Bournemouth,30,25.7,44.4,38,418,3420,38.0,52,39,91,50,2,3,79,3,55.9,53.6,40.5,94.0,709,1314,1.37,1.03,2.39,1.32,2.34,1.47,1.06,2.54,1.41,2.47,3,38,67,1.76,194,127,68.6,13,9,16,9,23.7,7,6,1,0,14.3,52,539,175,32.5,14.18,4.61,0.09,0.29,16.7,18,55.9,53.6,0.1,-3.9,-3.6,90,100,82,247,170,20,171,1.26,54,67,-13,-0.34,55.9,58.1,-2.2,-0.06,0,507,376,56,709,357,410,3,7,1,2013,582,671,46.4,1,6,63.2,0.3,-2.8,-0.07,199,581,34.3,976,177,44.0,41.7,266,57.1,43.9,492,31,6.3,37,0.97,14.8,11899,15920,74.7,220978,83235,4976,5868,84.8,5270,6214,84.8,1393,2964,47.0,39,40.5,33.7,-1.5,414,1074,352,88,952,25.05,700,70,64,57,34,27,83,2.18,62,3,5,6,3,4,693,301,281,111,325,688,47.2,363,504,153,351,1050,817,16,20700,2486,6820,8469,5686,1033,20697,872,382,43.8,414,47.5,11015,66369,34635,513,240,637,386,11771,1296,2023-2024
Brentford,28,26.6,45.2,38,418,3420,38.0,54,38,92,51,3,3,89,2,58.2,56.0,42.7,98.8,505,1283,1.42,1.0,2.42,1.34,2.34,1.53,1.12,2.66,1.47,2.6,2,38,65,1.71,184,119,65.8,10,9,19,7,18.4,2,2,0,0,0.0,54,470,159,33.8,12.37,4.18,0.11,0.32,15.6,17,58.2,56.0,0.12,-4.2,-5.0,90,100,83,247,170,16,172,1.03,56,65,-9,-0.24,58.2,56.0,2.2,0.06,0,385,419,70,706,378,399,3,2,0,1892,632,607,51.0,0,6,57.0,0.3,-8.0,-0.21,254,677,37.5,1330,136,37.1,34.5,318,57.5,44.9,605,46,7.6,38,1.0,12.6,12551,16818,74.6,225971,88492,5616,6628,84.7,5236,6432,81.4,1382,2776,49.8,38,42.7,40.0,-4.7,332,965,333,106,804,21.16,557,102,34,55,42,14,81,2.13,57,7,3,8,6,0,677,349,250,78,317,697,45.5,380,474,142,332,1055,903,18,21227,2878,7944,8253,5210,982,21224,577,243,42.1,269,46.6,10970,56621,29411,363,156,556,271,12416,1276,2023-2024
Brighton,30,25.9,59.8,38,418,3420,38.0,50,36,86,45,5,6,90,3,56.8,52.2,41.6,93.8,864,1780,1.32,0.95,2.26,1.18,2.13,1.49,1.09,2.59,1.37,2.47,2,38,62,1.63,165,105,66.1,12,12,14,6,15.8,6,6,0,0,0.0,50,555,198,35.7,14.61,5.21,0.08,0.23,16.7,11,56.8,52.2,0.1,-6.8,-7.2,90,100,80,239,176,23,166,1.26,55,62,-7,-0.18,56.8,55.4,1.4,0.04,0,414,454,84,671,288,366,6,6,2,1751,406,345,54.1,1,8,51.1,0.28,-8.9,-0.23,102,274,37.2,1278,186,20.3,24.4,254,5.9,12.0,405,24,5.9,72,1.89,15.8,21810,25029,87.1,341060,113686,11574,12473,92.8,8261,9125,90.5,1296,2164,59.9,36,41.6,43.7,-5.6,429,1484,384,81,1010,26.58,749,87,54,71,38,11,89,2.34,59,5,9,9,6,1,644,292,252,100,307,658,46.7,351,437,140,297,932,603,21,29112,3197,9449,13090,6766,1081,29106,715,297,41.5,322,45.0,19020,92960,48884,584,269,579,342,21577,1767,2023-2024
Burnley,31,24.5,47.4,38,418,3420,38.0,40,30,70,37,3,3,77,7,40.6,38.3,29.7,68.0,727,1181,1.05,0.79,1.84,0.97,1.76,1.07,0.78,1.85,1.01,1.79,2,38,78,2.05,244,168,70.5,5,9,24,2,5.3,7,6,1,0,14.3,40,430,137,31.9,11.32,3.61,0.09,0.27,17.7,13,40.6,38.3,0.09,-0.6,-1.3,90,100,82,255,162,19,180,0.63,41,78,-37,-0.97,40.6,70.4,-29.7,-0.78,3,429,353,76,550,280,342,3,7,3,1727,561,696,44.6,0,11,75.8,0.29,0.8,0.02,215,825,26.1,1826,216,35.6,34.3,284,61.6,44.7,562,50,8.9,74,1.95,17.2,13937,17959,77.6,246047,83556,6311,7267,86.8,6017,7042,85.4,1324,2755,48.1,30,29.7,26.6,0.3,326,976,216,54,757,19.92,549,74,49,45,31,9,74,1.95,55,6,8,2,3,0,607,282,247,78,284,584,48.6,300,477,169,308,887,837,22,22181,2907,8021,9196,5155,819,22178,699,300,42.9,329,47.1,12244,66914,35421,460,240,517,296,13779,1162,2023-2024
Chelsea,32,24.2,58.6,38,418,3420,38.0,76,51,127,65,11,12,109,4,74.5,65.1,51.4,116.5,873,1615,2.0,1.34,3.34,1.71,3.05,1.96,1.35,3.31,1.71,3.06,2,38,63,1.66,186,125,67.7,18,9,11,8,21.1,5,3,1,1,25.0,76,537,194,36.1,14.13,5.11,0.12,0.34,17.3,22,74.5,65.1,0.12,1.5,-0.1,90,100,84,267,148,17,193,1.66,77,63,14,0.37,74.5,58.1,16.4,0.43,2,446,451,85,558,298,376,11,5,3,1846,440,402,52.3,0,8,52.5,0.27,-7.5,-0.2,128,361,35.5,1129,184,22.5,28.1,282,37.9,32.6,514,39,7.6,47,1.24,15.8,20039,23364,85.8,328448,109853,10006,10877,92.0,8176,9060,90.2,1365,2328,58.6,51,51.4,43.1,-0.4,419,1351,352,51,980,25.79,720,62,76,46,50,26,133,3.5,89,7,11,10,12,4,663,325,235,103,323,630,51.3,307,448,166,282,961,785,24,27725,3035,9367,12068,6558,1039,27713,869,398,45.8,365,42.0,16624,84615,44082,543,291,604,370,19899,1600,2023-2024
Crystal Palace,26,26.7,42.3,38,418,3420,38.0,56,43,99,52,4,4,73,2,48.6,45.4,38.7,84.1,506,1176,1.47,1.13,2.61,1.37,2.5,1.28,1.02,2.3,1.2,2.21,3,38,58,1.53,154,98,64.3,13,10,15,10,26.3,3,3,0,0,0.0,56,452,162,35.8,11.89,4.26,0.12,0.32,17.2,20,48.6,45.4,0.1,7.4,6.6,90,100,85,292,126,16,214,1.29,57,58,-1,-0.03,48.6,52.0,-3.4,-0.09,2,457,427,72,583,323,464,4,3,2,1909,553,555,49.9,0,7,47.5,0.29,-8.5,-0.22,176,605,29.1,826,115,51.8,41.2,255,69.4,49.2,586,30,5.1,29,0.76,11.2,12915,16754,77.1,225542,84922,6040,6920,87.3,5338,6287,84.9,1204,2608,46.2,43,38.7,31.5,4.3,353,995,273,60,794,20.89,554,74,48,50,45,23,103,2.71,85,4,6,2,6,0,788,373,301,114,337,609,55.3,272,456,122,334,1111,927,6,21367,2349,7237,9279,5077,797,21363,737,341,46.3,320,43.4,10943,55546,26838,383,170,606,426,12811,1161,2023-2024
Everton,26,27.1,40.8,38,418,3420,38.0,40,17,57,38,2,3,82,1,54.0,51.6,38.1,89.8,495,1129,1.05,0.45,1.5,1.0,1.45,1.42,1.0,2.43,1.36,2.36,1,38,51,1.34,165,117,73.9,13,9,16,13,34.2,8,8,0,0,0.0,40,504,152,30.2,13.26,4.0,0.08,0.25,16.7,14,54.0,51.6,0.11,-14.0,-13.6,90,100,85,299,121,19,218,1.26,40,51,-11,-0.29,54.0,55.2,-1.2,-0.03,1,457,361,89,752,358,442,2,8,3,1970,676,577,54.0,0,9,52.4,0.28,4.4,0.12,360,901,40.0,1296,141,56.7,41.6,274,60.6,48.2,570,30,5.3,54,1.42,15.9,11349,15514,73.2,208537,88374,5198,6091,85.3,4386,5405,81.1,1469,3057,48.1,17,38.1,31.8,-21.1,339,958,284,77,854,22.47,592,82,31,76,41,32,60,1.58,33,5,0,13,5,4,743,371,261,111,347,701,49.5,354,479,177,302,1101,882,12,20053,2568,6792,8180,5283,809,20050,564,250,44.3,267,47.3,9770,52160,25904,389,127,560,320,11254,1119,2023-2024
Fulham,25,28.4,50.6,38,418,3420,38.0,54,40,94,52,2,2,84,4,50.8,49.2,37.6,86.8,670,1467,1.42,1.05,2.47,1.37,2.42,1.34,0.99,2.33,1.3,2.29,1,38,61,1.61,190,133,72.1,13,8,17,10,26.3,8,8,0,0,0.0,54,499,175,35.1,13.13,4.61,0.1,0.3,17.0,14,50.8,49.2,0.1,3.2,2.8,90,100,82,244,170,18,171,1.24,55,61,-6,-0.16,50.8,62.9,-12.1,-0.32,3,384,364,51,736,371,384,2,8,4,1837,487,509,48.9,2,3,55.7,0.26,-1.3,-0.03,144,439,32.8,1272,167,25.5,28.5,301,38.2,33.0,472,19,4.0,40,1.05,14.2,16311,20237,80.6,290238,100538,7028,7907,88.9,7277,8347,87.2,1586,2853,55.6,40,37.6,33.6,2.4,379,1117,355,94,877,23.08,652,79,40,67,24,15,95,2.5,73,6,4,8,3,1,679,339,260,80,346,678,51.0,332,437,117,320,1050,744,14,24318,2792,8619,10359,5568,849,24316,550,271,49.3,232,42.2,13883,72675,36777,508,151,520,325,16183,1452,2023-2024
Liverpool,30,26.3,61.3,38,418,3420,38.0,80,60,140,74,6,9,69,5,87.8,80.4,63.7,144.1,924,2110,2.11,1.58,3.68,1.95,3.53,2.31,1.68,3.98,2.12,3.79,2,38,41,1.08,147,108,72.8,24,10,4,10,26.3,1,1,0,0,0.0,80,781,263,33.7,20.55,6.92,0.09,0.28,17.2,18,87.8,80.4,0.11,-7.8,-6.4,90,100,82,248,166,20,176,2.16,86,41,45,1.18,87.8,45.7,42.0,1.11,2,463,376,100,817,292,418,8,1,2,2034,583,441,56.9,0,7,40.0,0.27,1.0,0.03,92,285,32.3,1348,192,17.0,24.7,228,24.6,27.5,376,18,4.8,46,1.21,17.7,20376,24379,83.6,346550,118702,9656,10641,90.7,8627,9763,88.4,1637,2814,58.2,60,63.7,55.6,-3.7,598,1666,506,80,1388,36.53,1045,116,66,101,43,17,131,3.45,96,8,9,10,7,1,677,274,290,113,341,768,44.4,427,475,108,367,969,583,19,28764,2193,7390,13756,7869,1422,28755,737,331,44.9,331,44.9,17894,92424,48244,694,295,574,407,20230,2091,2023-2024
Luton Town,28,26.7,42.4,38,418,3420,38.0,49,33,82,44,5,5,71,0,42.4,38.6,29.5,68.2,675,1113,1.29,0.87,2.16,1.16,2.03,1.12,0.78,1.89,1.02,1.79,2,38,85,2.24,223,142,63.7,6,8,24,2,5.3,4,4,0,0,0.0,49,427,134,31.4,11.24,3.53,0.1,0.33,16.3,11,42.4,38.6,0.09,6.6,5.4,90,100,82,260,158,20,184,0.68,52,85,-33,-0.87,42.4,78.0,-35.5,-0.94,0,443,448,67,841,325,368,2,4,4,1868,635,631,50.2,0,13,77.7,0.34,-3.3,-0.09,274,814,33.7,1122,151,52.4,50.8,349,64.8,46.8,561,16,2.9,77,2.03,19.0,11048,15099,73.2,201475,81352,4969,5784,85.9,4443,5431,81.8,1289,2879,44.8,33,29.5,27.5,3.5,315,835,250,90,749,19.71,504,73,59,55,46,12,81,2.13,46,7,6,16,6,0,654,330,236,88,299,616,48.5,317,493,183,310,979,916,21,19656,2630,7028,7906,4964,780,19651,771,354,45.9,331,42.9,10070,59990,29813,480,169,580,385,10911,1094,2023-2024
Manchester City,25,26.6,65.2,38,418,3420,38.0,94,69,163,85,9,10,53,2,80.5,72.9,60.2,133.1,1127,2060,2.47,1.82,4.29,2.24,4.05,2.12,1.58,3.7,1.92,3.5,2,38,34,0.89,109,76,71.6,28,7,3,13,34.2,3,3,0,0,0.0,94,683,264,38.7,17.97,6.95,0.12,0.32,17.1,25,80.5,72.9,0.11,13.5,12.1,90,100,85,301,115,19,221,2.39,96,34,62,1.63,80.5,35.6,44.9,1.18,1,289,410,42,700,233,305,8,3,1,1734,325,288,53.0,0,3,36.2,0.31,3.2,0.08,142,314,45.2,1342,161,19.7,27.2,158,31.0,31.9,312,31,9.9,63,1.66,17.3,24616,27758,88.7,394064,112270,12895,13721,94.0,9449,10306,91.7,1652,2498,66.1,69,60.2,62.1,8.8,545,1890,484,65,1259,33.13,991,65,65,67,54,17,169,4.45,125,5,14,10,13,2,517,183,221,113,222,458,48.5,236,353,75,278,750,457,17,31414,2162,7012,14348,10260,1466,31404,731,377,51.6,282,38.6,20210,105397,58071,867,415,441,356,24343,2032,2023-2024
Manchester Utd,31,26.1,50.6,38,418,3420,38.0,57,36,93,51,6,7,83,1,56.5,51.0,40.1,91.0,759,1479,1.5,0.95,2.45,1.34,2.29,1.49,1.06,2.54,1.34,2.4,1,38,58,1.53,203,146,74.9,18,6,14,9,23.7,7,7,0,0,0.0,57,543,182,33.5,14.29,4.79,0.09,0.28,17.4,15,56.5,51.0,0.1,0.5,0.0,90,100,84,266,153,17,189,1.58,57,58,-1,-0.03,56.5,68.9,-12.5,-0.33,1,401,340,91,594,313,409,6,7,1,1851,436,450,49.2,1,11,59.1,0.27,2.1,0.06,149,513,29.0,1184,140,35.4,31.2,329,28.6,26.0,601,42,7.0,37,0.97,12.9,15785,19538,80.8,260507,91226,7892,8866,89.0,5965,6943,85.9,1355,2517,53.8,36,40.1,34.6,-4.1,434,1202,338,50,989,26.03,743,79,55,52,38,22,98,2.58,68,4,8,7,6,5,676,334,240,102,349,715,48.8,366,534,207,327,989,884,12,23997,2938,8197,9856,6145,1025,23990,697,311,44.6,303,43.5,13976,75395,39607,523,275,484,342,15594,1467,2023-2024
Newcastle Utd,32,27.2,52.2,38,418,3420,38.0,83,55,138,75,8,9,79,1,76.0,69.0,51.3,120.3,737,1557,2.18,1.45,3.63,1.97,3.42,2.0,1.35,3.35,1.82,3.17,3,38,62,1.63,195,133,70.3,18,6,14,10,26.3,5,4,1,0,20.0,83,542,196,36.2,14.26,5.16,0.14,0.38,15.7,9,76.0,69.0,0.13,7.0,6.0,90,100,83,272,149,19,193,1.58,85,62,23,0.61,76.0,61.4,14.6,0.38,1,386,469,59,648,285,391,9,5,1,1836,453,418,52.0,1,8,61.0,0.29,0.0,0.0,100,301,33.2,803,236,18.8,36.3,281,53.4,40.5,449,30,6.7,53,1.39,19.5,16117,19852,81.2,274265,96401,7681,8623,89.1,6722,7757,86.7,1358,2504,54.2,55,51.3,43.5,3.7,424,1107,380,76,983,25.87,713,69,72,67,46,16,144,3.79,90,7,18,13,13,3,661,316,254,91,302,681,44.3,379,497,151,346,946,682,16,24004,2447,8084,10144,6004,1094,23996,730,355,48.6,288,39.5,13649,73443,36585,507,243,506,400,15994,1545,2023-2024
Nott'ham Forest,33,25.7,40.6,38,418,3420,38.0,49,43,92,48,1,1,82,3,49.9,49.1,38.0,87.1,604,1140,1.29,1.13,2.42,1.26,2.39,1.31,1.0,2.31,1.29,2.29,3,38,67,1.76,163,98,61.3,9,9,20,4,10.5,4,4,0,0,0.0,49,450,143,31.8,11.84,3.76,0.11,0.34,17.2,7,49.9,49.1,0.11,-0.9,-1.1,90,100,83,257,158,18,182,0.95,49,67,-18,-0.47,49.9,53.2,-3.3,-0.09,2,428,371,77,595,331,429,1,4,2,1807,583,556,51.2,1,15,47.2,0.27,-17.8,-0.47,229,519,44.1,818,171,42.5,35.7,304,56.3,41.4,611,44,7.2,24,0.63,13.3,11873,15673,75.8,209938,83047,5506,6412,85.9,4763,5857,81.3,1262,2490,50.7,43,38.0,27.9,5.0,325,905,244,61,783,20.61,566,67,49,56,32,13,90,2.37,70,5,7,3,3,2,728,437,219,72,325,607,53.5,282,488,168,320,1059,968,13,20118,2495,7340,8310,4686,785,20117,603,275,45.6,268,44.4,10216,54782,29231,396,156,527,286,11779,1122,2023-2024
Sheffield Utd,35,25.7,35.8,38,418,3420,38.0,31,18,49,26,5,5,101,5,38.3,34.4,25.8,60.2,343,884,0.82,0.47,1.29,0.68,1.16,1.01,0.68,1.69,0.91,1.58,2,38,104,2.74,263,166,62.4,3,7,28,1,2.6,7,5,0,2,0.0,31,360,117,32.5,9.47,3.08,0.07,0.22,17.4,8,38.3,34.4,0.1,-7.3,-8.4,90,100,81,263,152,23,188,0.42,35,104,-69,-1.82,38.3,76.7,-38.4,-1.01,3,423,318,64,428,348,405,3,7,7,1638,585,693,45.8,0,12,85.2,0.31,-11.8,-0.31,271,818,33.1,988,126,55.3,41.2,352,77.3,54.0,661,39,5.9,56,1.47,14.4,9521,13498,70.5,169803,71320,4486,5347,83.9,3733,4691,79.6,1044,2630,39.7,18,25.8,21.0,-7.8,257,701,198,48,601,15.82,425,59,39,45,22,11,48,1.26,32,2,4,6,3,1,709,375,248,86,299,635,47.1,336,514,180,334,1057,1042,18,17940,2814,7150,7140,3830,646,17935,578,250,43.3,285,49.3,8313,43259,20339,287,127,489,323,9445,874,2023-2024
Tottenham,29,25.2,61.6,38,418,3420,38.0,69,58,127,67,2,2,92,4,68.2,66.7,57.4,124.1,957,2107,1.82,1.53,3.34,1.76,3.29,1.79,1.51,3.31,1.75,3.27,1,38,61,1.61,167,109,67.7,20,6,12,7,18.4,7,7,0,0,0.0,69,582,207,35.6,15.32,5.45,0.12,0.32,16.5,11,68.2,66.7,0.12,0.8,0.3,90,100,82,244,170,19,170,1.74,74,61,13,0.34,68.2,63.4,4.8,0.13,2,425,510,83,710,355,451,2,7,3,1907,359,388,48.1,1,8,60.0,0.32,2.0,0.05,53,225,23.6,1308,193,14.9,24.0,256,11.7,19.4,511,33,6.5,81,2.13,17.1,20649,24197,85.3,326221,111380,10630,11617,91.5,8361,9345,89.5,1089,1905,57.2,58,57.4,52.1,0.6,460,1588,454,65,1053,27.71,818,60,60,61,31,23,122,3.21,96,7,7,5,3,4,724,335,264,125,360,691,52.1,331,445,132,313,1079,707,24,28529,2791,8519,12260,8011,1316,28527,812,359,44.2,363,44.7,18081,92767,46593,634,349,559,375,20481,2097,2023-2024
West Ham,26,28.3,41.1,38,418,3420,38.0,58,40,98,54,4,5,82,3,52.3,48.4,34.8,83.2,556,1207,1.53,1.05,2.58,1.42,2.47,1.38,0.92,2.29,1.27,2.19,2,38,74,1.95,241,169,72.6,14,10,14,5,13.2,10,8,2,0,20.0,58,445,146,32.8,11.71,3.84,0.12,0.37,16.2,17,52.3,48.4,0.11,5.7,5.6,90,100,85,307,109,17,233,1.37,60,74,-14,-0.37,52.3,71.1,-18.8,-0.49,3,390,392,71,661,361,426,4,10,4,1817,576,570,50.3,0,6,72.0,0.26,2.0,0.05,210,553,38.0,793,188,46.8,39.0,307,59.3,43.4,582,35,6.0,8,0.21,7.6,12568,16373,76.8,219336,85575,6043,6856,88.1,4817,5751,83.8,1330,2718,48.9,40,34.8,30.8,5.2,305,979,225,71,782,20.58,518,91,58,43,47,25,104,2.74,70,11,8,8,4,3,684,350,254,80,307,607,50.6,300,487,180,307,1045,906,9,20875,2605,7301,9100,4692,750,20869,745,353,47.4,321,43.1,11184,60658,28802,369,168,515,397,12459,1192,2023-2024
Wolves,27,26.6,48.9,38,418,3420,38.0,47,36,83,43,4,4,102,4,46.7,43.6,31.8,75.4,671,1180,1.24,0.95,2.18,1.13,2.08,1.23,0.84,2.07,1.15,1.98,2,38,65,1.71,203,139,71.9,13,7,18,5,13.2,8,8,0,0,0.0,47,425,153,36.0,11.18,4.03,0.1,0.28,16.7,12,46.7,43.6,0.11,0.3,-0.6,90,100,83,268,146,20,196,1.21,50,65,-15,-0.39,46.7,67.7,-21.0,-0.55,2,476,405,78,578,284,430,4,8,1,1885,441,491,47.3,1,7,71.7,0.32,7.7,0.2,100,480,20.8,933,199,34.3,33.8,305,52.5,40.0,572,45,7.9,31,0.82,13.3,15484,19175,80.8,255933,84649,7694,8577,89.7,6100,7016,86.9,1218,2527,48.2,36,31.8,27.6,4.2,316,910,239,61,743,19.55,519,67,53,47,42,15,81,2.13,52,7,7,6,7,2,739,415,247,77,312,607,51.4,295,506,173,333,1023,828,16,23485,2823,8674,10262,4804,739,23481,823,415,50.4,324,39.4,13056,71348,36731,519,168,536,389,15350,1163,2023-2024
